Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2018-07-03,,505.0,490.0,491.5,,46131.0,22773274.0,,,
2018-07-02,,500.0,481.5,490.5,,70390.0,34547454.0,,,
2018-06-29,,507.0,494.5,501.0,,55560.0,27818433.0,,,
2018-06-28,,490.0,474.5,487.5,,79628.0,38607781.0,,,
2018-06-27,,475.0,459.0,470.0,,48662.0,22834300.0,,,
2018-06-26,,485.5,455.0,461.0,,70248.0,32892819.0,,,
2018-06-25,,497.0,467.0,468.0,,63020.0,30130761.0,,,
2018-06-22,,493.0,487.0,490.0,,62830.0,30773683.0,,,
2018-06-21,,486.5,480.0,483.5,,50974.0,24654918.0,,,
2018-06-20,,493.0,478.5,483.5,,28538.0,13818661.0,,,
2018-06-19,,494.0,481.0,489.5,,54288.0,26558633.0,,,
2018-06-18,,502.0,494.5,497.0,,36307.0,18071263.0,,,
2018-06-15,,508.0,485.0,500.0,,188618.0,94093445.0,,,
2018-06-14,,508.0,484.0,505.0,,59872.0,29916879.0,,,
2018-06-13,,493.0,481.5,484.0,,39640.0,19291412.0,,,
2018-06-12,,494.0,485.0,487.0,,41015.0,20039813.0,,,
2018-06-11,,500.0,484.5,490.0,,34411.0,16887933.0,,,
2018-06-08,,499.5,478.5,494.5,,45860.0,22593710.0,,,
2018-06-07,,518.0,476.5,483.0,,115261.0,56578186.0,,,
2018-06-06,,526.0,510.0,510.0,,57854.0,29782229.0,,,
2018-06-05,,539.0,517.0,525.0,,62891.0,33086290.0,,,
2018-06-04,,524.0,507.0,519.0,,62220.0,32053349.0,,,
2018-06-01,,528.0,505.0,518.0,,62311.0,32324989.0,,,
2018-05-31,,519.0,484.5,519.0,,123306.0,63276084.0,,,
2018-05-30,,493.0,478.0,486.0,,77416.0,37656856.0,,,
2018-05-29,,490.5,478.0,480.5,,45568.0,21975710.0,,,
2018-05-28,,497.5,482.5,487.5,,29156.0,14208820.0,,,
2018-05-25,,496.0,471.0,492.5,,71676.0,34884561.0,,,
2018-05-24,,478.0,466.5,470.5,,63450.0,29901519.0,,,
2018-05-23,,483.5,467.5,470.5,,93932.0,44254277.0,,,
2018-05-22,,488.5,475.0,481.0,,77183.0,37004382.0,,,
2018-05-18,,500.0,469.5,480.0,,133298.0,64626868.0,,,
2018-05-17,,468.5,441.0,461.5,,111395.0,50865309.0,,,
2018-05-16,,458.0,423.5,452.0,,262382.0,117241535.0,,,
2018-05-15,,422.0,401.5,417.0,,121449.0,50254910.0,,,
2018-05-14,,438.5,411.5,417.0,,390846.0,164010499.0,,,
2018-05-11,,423.5,406.5,414.0,,225663.0,93348579.0,,,
2018-05-10,,412.0,393.0,411.5,,37293.0,15118596.0,,,
2018-05-09,,403.0,394.0,395.0,,23158.0,9154104.0,,,
2018-05-08,,397.5,392.5,396.5,,19387.0,7660362.0,,,
2018-05-07,,398.5,387.5,396.0,,22498.0,8896038.0,,,
2018-05-04,,401.0,384.0,388.0,,46818.0,18341826.0,,,
2018-05-03,,408.0,397.0,400.0,,25733.0,10379416.0,,,
2018-05-02,,405.0,401.0,402.5,,22805.0,9196772.0,,,
2018-04-30,,407.5,402.0,404.5,,17930.0,7244401.0,,,
2018-04-27,,410.0,399.5,403.0,,34914.0,14106493.0,,,
2018-04-26,,408.5,393.0,403.0,,22971.0,9253863.0,,,
2018-04-25,,411.5,402.0,403.5,,29515.0,11968115.0,,,
2018-04-24,,424.5,401.0,408.5,,30194.0,12391788.0,,,
2018-04-23,,418.0,401.5,418.0,,20978.0,8621909.0,,,
2018-04-20,,415.5,400.5,405.0,,21564.0,8775086.0,,,
2018-04-19,,415.0,410.0,413.5,,16363.0,6760093.0,,,
2018-04-18,,419.5,412.5,413.5,,16685.0,6927419.0,,,
2018-04-17,,419.5,411.5,413.5,,13950.0,5779176.0,,,
2018-04-16,,423.0,413.0,415.0,,23050.0,9611666.0,,,
2018-04-13,,429.5,411.5,427.0,,35191.0,14877181.0,,,
2018-04-12,,437.0,404.0,432.5,,64529.0,27155412.0,,,
2018-04-11,,411.5,401.5,410.0,,11802.0,4808666.0,,,
2018-04-10,,411.0,403.5,409.5,,16793.0,6858408.0,,,
2018-04-09,,416.0,401.0,406.0,,18256.0,7426458.0,,,
2018-04-06,,409.0,399.0,407.5,,13011.0,5270780.0,,,
2018-04-05,,407.0,395.0,406.0,,20256.0,8160445.0,,,
2018-04-04,,395.5,389.0,391.0,,16010.0,6281844.0,,,
2018-04-03,,397.5,391.5,396.0,,15829.0,6238685.0,,,
2018-03-29,,401.5,388.0,396.5,,15743.0,6233781.0,,,
2018-03-28,,392.0,381.5,387.0,,12922.0,4991858.0,,,
2018-03-27,,401.5,387.0,391.5,,12450.0,4894090.0,,,
2018-03-26,,403.5,388.5,394.5,,21987.0,8740181.0,,,
2018-03-23,,400.5,382.0,385.5,,30853.0,11991646.0,,,
2018-03-22,,411.5,398.5,399.0,,29061.0,11754473.0,,,
2018-03-21,,419.0,404.5,412.5,,42542.0,17543190.0,,,
2018-03-20,,421.5,385.5,415.0,,53258.0,21873839.0,,,
2018-03-19,,393.5,387.5,392.5,,15166.0,5936658.0,,,
2018-03-16,,395.5,380.0,391.0,,51515.0,20063929.0,,,
2018-03-15,,383.5,371.0,382.5,,20606.0,7808089.0,,,
2018-03-14,,374.5,362.5,370.5,,20514.0,7592016.0,,,
2018-03-13,,366.5,361.5,361.5,,12205.0,4431217.0,,,
2018-03-12,,368.5,362.5,363.5,,8735.0,3186462.0,,,
2018-03-09,,366.5,358.5,363.0,,18672.0,6777716.0,,,
2018-03-08,,370.5,358.5,362.5,,20886.0,7588378.0,,,
2018-03-07,,373.0,360.5,370.0,,30778.0,11317976.0,,,
2018-03-06,,363.0,346.0,358.0,,26325.0,9389643.0,,,
2018-03-05,,348.0,340.0,343.0,,9415.0,3240168.0,,,
2018-03-02,,343.5,338.0,338.5,,16988.0,5775043.0,,,
2018-03-01,,362.0,344.0,345.0,,41968.0,14729255.0,,,
2018-02-28,,363.0,358.5,361.5,,12381.0,4468471.0,,,
2018-02-27,,363.5,359.5,360.0,,24156.0,8706325.0,,,
2018-02-26,,364.5,360.5,363.0,,12955.0,4693853.0,,,
2018-02-23,,363.5,358.0,361.5,,16803.0,6070386.0,,,
2018-02-22,,356.0,350.0,354.0,,27856.0,9828598.0,,,
2018-02-21,,359.0,345.5,358.0,,26194.0,9263574.0,,,
2018-02-20,,347.0,340.0,342.0,,11355.0,3890503.0,,,
2018-02-19,,342.0,333.5,342.0,,8900.0,3028029.0,,,
2018-02-16,,339.5,331.0,337.5,,16569.0,5568629.0,,,
2018-02-15,,331.5,323.0,329.5,,16098.0,5271335.0,,,
2018-02-14,,325.5,314.5,324.0,,24210.0,7736644.0,,,
2018-02-13,,329.0,315.5,317.0,,14713.0,4710137.0,,,
2018-02-12,,332.5,315.0,317.5,,15937.0,5125344.0,,,
2018-02-09,,328.5,314.0,325.0,,15922.0,5118977.0,,,
2018-02-08,,332.5,319.5,321.5,,14666.0,4762315.0,,,
2018-02-07,,333.0,324.0,331.0,,11809.0,3875659.0,,,
2018-02-06,,324.5,306.0,321.5,,18622.0,5858743.0,,,
2018-02-05,,327.5,319.5,322.0,,10198.0,3298436.0,,,
2018-02-02,,340.5,325.5,326.5,,21019.0,6976985.0,,,
2018-02-01,,340.5,336.0,337.5,,8317.0,2809670.0,,,
2018-01-31,,341.5,329.0,339.0,,10381.0,3496520.0,,,
2018-01-30,,339.5,328.0,328.5,,15321.0,5084096.0,,,
2018-01-29,,343.5,336.0,337.0,,13642.0,4624782.0,,,
2018-01-26,,342.5,332.0,340.0,,10691.0,3620314.0,,,
2018-01-25,,341.5,332.0,333.5,,17208.0,5750783.0,,,
2018-01-24,,341.0,333.0,337.0,,26631.0,8972568.0,,,
2018-01-23,,335.5,328.0,333.0,,18580.0,6178073.0,,,
2018-01-22,,328.5,322.5,328.5,,14344.0,4677725.0,,,
2018-01-19,,325.5,320.5,325.0,,15913.0,5145596.0,,,
2018-01-18,,330.0,318.5,319.5,,12760.0,4124357.0,,,
2018-01-17,,331.0,325.0,329.0,,12893.0,4228238.0,,,
2018-01-16,,338.0,328.5,330.0,,19896.0,6628671.0,,,
2018-01-15,,335.0,313.0,333.0,,39970.0,12997559.0,,,
2018-01-12,,325.0,285.5,318.5,,148180.0,46092980.0,,,
2018-01-11,,362.0,336.5,338.0,,19849.0,6921817.0,,,
2018-01-02,365.0,365.0,354.5,360.0,,3988.0,1434459.0,,,
